expiry,dte,type,strike,last,iv,oi,volume,advice
2025-10-24,0,CALL,500.0,0.01,0,24965,5663.0,"MONITOR | OTM | IV=0.00 | OI=24965 | VOL=5663 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,450.0,0.01,0,23925,195332.0,"MONITOR | OTM | IV=0.00 | OI=23925 | VOL=195332 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,480.0,0.01,0,20502,17154.0,"MONITOR | OTM | IV=0.00 | OI=20502 | VOL=17154 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,470.0,0.01,0,16590,33367.0,"MONITOR | OTM | IV=0.00 | OI=16590 | VOL=33367 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,475.0,0.01,0,16558,22276.0,"MONITOR | OTM | IV=0.00 | OI=16558 | VOL=22276 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,440.0,0.06,0,16148,188335.0,"MONITOR | OTM | IV=0.00 | OI=16148 | VOL=188335 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,460.0,0.01,0,13986,54637.0,"MONITOR | OTM | IV=0.00 | OI=13986 | VOL=54637 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,452.5,0.01,0,11896,43741.0,"MONITOR | OTM | IV=0.00 | OI=11896 | VOL=43741 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,455.0,0.01,0,11647,57443.0,"MONITOR | OTM | IV=0.00 | OI=11647 | VOL=57443 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,CALL,490.0,0.01,0,11284,6610.0,"MONITOR | OTM | IV=0.00 | OI=11284 | VOL=6610 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,420.0,0.03,0,26283,44086.0,"MONITOR | OTM | IV=0.00 | OI=26283 | VOL=44086 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,400.0,0.01,0,24138,10716.0,"MONITOR | OTM | IV=0.00 | OI=24138 | VOL=10716 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,325.0,0.01,0,20678,1464.0,"MONITOR | OTM | IV=0.00 | OI=20678 | VOL=1464 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,430.0,0.4,0,14710,148317.0,"BUY/HOLD (bearish near-ATM) | OTM | IV=0.00 | OI=14710 | VOL=148317 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,350.0,0.01,0,13220,1392.0,"MONITOR | OTM | IV=0.00 | OI=13220 | VOL=1392 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,410.0,0.02,0,12773,9066.0,"MONITOR | OTM | IV=0.00 | OI=12773 | VOL=9066 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,390.0,0.01,0,10735,2681.0,"MONITOR | OTM | IV=0.00 | OI=10735 | VOL=2681 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,425.0,0.09,0,10330,39104.0,"BUY/HOLD (bearish near-ATM) | OTM | IV=0.00 | OI=10330 | VOL=39104 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,380.0,0.01,0,9931,1279.0,"MONITOR | OTM | IV=0.00 | OI=9931 | VOL=1279 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
2025-10-24,0,PUT,440.0,7.5,0,9752,119430.0,"BUY/HOLD (bearish ITM) | ITM | IV=0.00 | OI=9752 | VOL=119430 | short time → high theta decay, low IV → cheap premium, volatility=moderate"
